Delta function,FWHM,Auger coefficient
Gaussian,0.001,0.0
Gaussian,0.005,0.0
Gaussian,0.01,0.0
Gaussian,0.03,7.950777037345363e-220
Gaussian,0.05,5.028101607897516e-98
Gaussian,0.07,1.492157398773213e-64
Gaussian,0.1,7.564677965956506e-47
Gaussian,0.15,1.722421658246206e-37
Gaussian,0.2,2.808304329410302e-34
Lorentzian,0.001,1.3175358816553847e-33
Lorentzian,0.005,6.587403936559895e-33
Lorentzian,0.01,1.3173086473345146e-32
Lorentzian,0.03,3.946425890646239e-32
Lorentzian,0.05,6.559119702334048e-32
Lorentzian,0.07,9.14469462937868e-32
Lorentzian,0.1,1.2949762804409285e-31
Lorentzian,0.15,1.9017645486256492e-31
Lorentzian,0.2,2.4634428497717857e-31
Rectangular,0.001,0.0
Rectangular,0.005,0.0
Rectangular,0.01,0.0
Rectangular,0.03,0.0
Rectangular,0.05,0.0
Rectangular,0.07,0.0
Rectangular,0.1,0.0
Rectangular,0.15,0.0
Rectangular,0.2,0.0
