pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k2_mapped,probability,k1_nscf_index,k2_nscf_index,k3_nscf_index,k4_nscf_index,k1_wc_index,k2_wc_index,k3_wc_index,k4_wc_index
9-9-9-7-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,7,1,0,1,1,0.4,0.40000000000000036,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,1,0,1,1,1,1,1,1
9-9-9-8-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,8,1,0,1,1,0.4,0.40000000000000036,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,1,0,1,1,1,1,1,1
9-9-9-7-w1:1-w1:2-w1:1-w1:3,eeh,9,9,9,7,1,2,1,3,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10,1,2,1,3,1,1,1,1
9-9-9-7-w1:1-w1:4-w1:1-w1:5,eeh,9,9,9,7,1,4,1,5,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10,1,4,1,5,1,1,1,1
9-9-9-7-w1:1-w1:6-w1:1-w1:7,eeh,9,9,9,7,1,6,1,7,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10,1,6,1,7,1,1,1,1
9-9-9-7-w1:1-w1:8-w1:1-w1:9,eeh,9,9,9,7,1,8,1,9,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10,1,8,1,9,1,1,1,1
9-9-9-7-w1:1-w1:10-w1:1-w1:11,eeh,9,9,9,7,1,10,1,11,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10,1,10,1,11,1,1,1,1
9-9-9-7-w1:1-w1:12-w1:1-w1:13,eeh,9,9,9,7,1,12,1,13,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10,1,12,1,13,1,1,1,1
9-9-9-7-w1:1-w1:14-w1:1-w1:15,eeh,9,9,9,7,1,14,1,15,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,14,1,15,1,1,1,1
9-9-9-7-w1:1-w1:16-w1:1-w1:17,eeh,9,9,9,7,1,16,1,17,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,16,1,17,1,1,1,1
