Delta function,FWHM,Auger coefficient
Gaussian,0.001,0.0
Gaussian,0.005,0.0
Gaussian,0.01,0.0
Gaussian,0.03,1.1655026848295864e-219
Gaussian,0.05,6.351385124061785e-98
Gaussian,0.07,1.809131442488585e-64
Gaussian,0.1,8.97356638392006e-47
Gaussian,0.15,2.018315821979719e-37
Gaussian,0.2,3.273903487133973e-34
Lorentzian,0.001,1.5275054385697984e-33
Lorentzian,0.005,7.637208171835512e-33
Lorentzian,0.01,1.5272422808211047e-32
Lorentzian,0.03,4.575357295888589e-32
Lorentzian,0.05,7.604452582510706e-32
Lorentzian,0.07,1.0602142094303257e-31
Lorentzian,0.1,1.501379694630173e-31
Lorentzian,0.15,2.2049371638693945e-31
Lorentzian,0.2,2.856257765529554e-31
Rectangular,0.001,0.0
Rectangular,0.005,0.0
Rectangular,0.01,0.0
Rectangular,0.03,0.0
Rectangular,0.05,0.0
Rectangular,0.07,0.0
Rectangular,0.1,0.0
Rectangular,0.15,0.0
Rectangular,0.2,0.0
