pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k2_mapped,probability
9-9-9-7-0-0-0-0,eeh,9,9,9,7,0,0,0,0,0.4,0.4,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08
9-9-9-8-0-0-0-0,eeh,9,9,9,8,0,0,0,0,0.4,0.4,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08
9-9-9-7-0-9-0-1,eeh,9,9,9,7,0,9,0,1,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10
9-9-9-7-0-1-0-9,eeh,9,9,9,7,0,1,0,9,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10
9-9-9-7-0-90-0-10,eeh,9,9,9,7,0,90,0,10,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10
9-9-9-7-0-10-0-90,eeh,9,9,9,7,0,10,0,90,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10
9-9-9-7-0-900-0-100,eeh,9,9,9,7,0,900,0,100,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10
9-9-9-7-0-999-0-111,eeh,9,9,9,7,0,999,0,111,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10
9-9-9-7-0-100-0-900,eeh,9,9,9,7,0,100,0,900,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10
9-9-9-7-0-111-0-999,eeh,9,9,9,7,0,111,0,999,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10
9-9-9-8-0-9-0-1,eeh,9,9,9,8,0,9,0,1,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10
9-9-9-8-0-1-0-9,eeh,9,9,9,8,0,1,0,9,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10
