pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k2_mapped,probability,C_Gaussian_FWHM_0.001,C_Gaussian_FWHM_0.005,C_Gaussian_FWHM_0.010,C_Gaussian_FWHM_0.030,C_Gaussian_FWHM_0.050,C_Gaussian_FWHM_0.070,C_Gaussian_FWHM_0.100,C_Gaussian_FWHM_0.150,C_Gaussian_FWHM_0.200,C_Lorentzian_FWHM_0.001,C_Lorentzian_FWHM_0.005,C_Lorentzian_FWHM_0.010,C_Lorentzian_FWHM_0.030,C_Lorentzian_FWHM_0.050,C_Lorentzian_FWHM_0.070,C_Lorentzian_FWHM_0.100,C_Lorentzian_FWHM_0.150,C_Lorentzian_FWHM_0.200,C_Rectangular_FWHM_0.001,C_Rectangular_FWHM_0.005,C_Rectangular_FWHM_0.010,C_Rectangular_FWHM_0.030,C_Rectangular_FWHM_0.050,C_Rectangular_FWHM_0.070,C_Rectangular_FWHM_0.100,C_Rectangular_FWHM_0.150,C_Rectangular_FWHM_0.200
9-9-9-7-0-0-0-0,eeh,9,9,9,7,0,0,0,0,0.4,0.4,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,0.0,0.0,0.0,4.915289406392664e-246,2.963441575151549e-109,1.1779957089478843e-71,9.300912127050373e-52,3.1312880236554347e-41,1.3089870121746794e-37,1.8166737643456666e-36,9.083028208702713e-36,1.816392791524747e-35,5.442376466788845e-35,9.04803911171199e-35,1.2620113476484629e-34,1.788727732084601e-34,2.632467228350922e-34,3.419626546632325e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-0-0-0,eeh,9,9,9,8,0,0,0,0,0.4,0.4,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,0.0,0.0,0.0,5.294200148930894e-246,3.1918833362148235e-109,1.268803442946579e-71,1.0017888214452901e-51,3.3726685038775235e-41,1.4098924259265413e-37,1.956715045228131e-36,9.78320835640052e-36,1.9564124131558332e-35,5.861910995448815e-35,9.745522067401157e-35,1.3592955651461221e-34,1.9266147471708443e-34,2.8353952882891665e-34,3.6832340754736725e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-9-0-1,eeh,9,9,9,7,0,9,0,1,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,5.587850070273982e-224,3.045088464697194e-102,8.673642731494981e-69,4.302166326689241e-51,9.673432795171126e-42,1.568326643766178e-38,7.234481503978156e-38,3.6170883797614384e-37,7.233224598555565e-37,2.166925136646275e-36,3.601443616943239e-36,5.0209623004782366e-36,7.109701953111456e-36,1.0439457142071957e-35,1.3519771303874986e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-1-0-9,eeh,9,9,9,7,0,1,0,9,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,5.585886155945963e-224,3.0440182332502702e-102,8.670594279760904e-69,4.3006542807352074e-51,9.670032955692857e-42,1.5677754372864098e-38,7.231938862049191e-38,3.6158171123499316e-37,7.230682398380501e-37,2.1661635458251043e-36,3.6001778480639885e-36,5.0191976253924084e-36,7.10720316639419e-36,1.0435788074505678e-35,1.351501962438443e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-90-0-10,eeh,9,9,9,7,0,90,0,10,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,6.419527833148949e-224,3.4983097090444953e-102,9.964600021362418e-69,4.9424870262604595e-51,1.1113195645861713e-41,1.801751373875428e-38,8.311238631875444e-38,4.155444265114235e-37,8.309794652662959e-37,2.4894433551558756e-36,4.1374709857507234e-36,5.768266297726777e-36,8.167887291069457e-36,1.1993232610697187e-35,1.553201089713175e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-10-0-90,eeh,9,9,9,7,0,10,0,90,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,6.409141486798575e-224,3.492649688989533e-102,9.948477996541469e-69,4.9344904284699046e-51,1.1095215273778682e-41,1.7988362663639844e-38,8.297791629965817e-38,4.148721047379391e-37,8.29634998701055e-37,2.485415610191087e-36,4.1307768475228745e-36,5.75893364692028e-36,8.154672221587587e-36,1.1973828400451061e-35,1.5506881191507242e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-900-0-100,eeh,9,9,9,7,0,900,0,100,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10,0.0,0.0,0.0,2.5837988770973427e-220,1.408036374777125e-98,4.01065670483915e-65,1.9893040049731734e-47,4.4729555158974153e-38,7.251877860220051e-35,3.3451944757429275e-34,1.672526781580453e-33,3.344613287848001e-33,1.001977265747599e-32,1.6652927076354202e-32,2.3216723052284156e-32,3.287496924921153e-32,4.8271620215230286e-32,6.251486613679359e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-999-0-111,eeh,9,9,9,7,0,999,0,111,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10,0.0,0.0,0.0,2.3159291409219677e-220,1.2620612620932013e-98,3.5948605827268226e-65,1.7830672333311733e-47,4.009231568732588e-38,6.500055175253382e-35,2.9983887047460617e-34,1.4991312004849488e-33,2.997867770243712e-33,8.980994491696093e-33,1.4926471034426482e-32,2.080977972012409e-32,2.9466728221777994e-32,4.326716484278355e-32,5.603377318194479e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-100-0-900,eeh,9,9,9,7,0,100,0,900,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,0.0,0.0,0.0,2.5837830764086903e-220,1.40802776422134e-98,4.010632178496003e-65,1.9892918397951883e-47,4.472928162461322e-38,7.251833512858022e-35,3.3451740188966683e-34,1.6725165535881845e-33,3.344592834555877e-33,1.0019711383624712e-32,1.6652825238816377e-32,2.3216581075207024e-32,3.287476820912356e-32,4.8271325020101706e-32,6.251448384003485e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-0-111-0-999,eeh,9,9,9,7,0,111,0,999,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,0.0,0.0,0.0,2.3159229024746123e-220,1.2620578624629605e-98,3.594850899205812e-65,1.7830624302606172e-47,4.0092207690152576e-38,6.500037665973281e-35,2.998380627948825e-34,1.4991271622564434e-33,2.997859694849723e-33,8.98097029947866e-33,1.4926430826804366e-32,2.0809723664559624e-32,2.946664884688284e-32,4.326704829347929e-32,5.603362224306764e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-9-0-1,eeh,9,9,9,8,0,9,0,1,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,3.2291301625720198e-223,1.7597084541267413e-101,5.012360927978641e-68,2.4861538651184207e-50,5.590123790305786e-41,9.063111583991363e-38,4.18069242038912e-37,2.0902581566945527e-36,4.179966074628132e-36,1.2522317583293526e-35,2.0812172957431672e-35,2.901534687886911e-35,4.108584291805045e-35,6.032797142799784e-35,7.812861970056002e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-1-0-9,eeh,9,9,9,8,0,1,0,9,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,3.226760834588184e-223,1.7584172932648848e-101,5.008683179974118e-68,2.4843296853461025e-50,5.586022117080286e-41,9.056461655739641e-38,4.177624897234356e-37,2.0887244597251642e-36,4.17689908441916e-36,1.251312951220972e-35,2.0796902323759477e-35,2.899405728388232e-35,4.1055696769563313e-35,6.028370664345333e-35,7.807129394542616e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-90-0-10,eeh,9,9,9,8,0,90,0,10,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,3.0109272699304635e-221,1.6407991951111746e-99,4.6736592967699104e-66,2.3181563123382214e-48,5.212380831719831e-39,8.450687474588185e-36,3.898189351932155e-35,1.9490125725292267e-34,3.897512087731253e-34,1.1676143604021504e-33,1.9405826321391825e-33,2.70546849354916e-33,3.8309538055754495e-33,5.625141297105991e-33,7.284921318596616e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-10-0-90,eeh,9,9,9,8,0,10,0,90,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10,0.0,0.0,0.0,3.0109458295540555e-221,1.6408093091434045e-99,4.673688105621659e-66,2.3181706016599908e-48,5.212412961299052e-39,8.450739565377682e-36,3.8982133807181646e-35,1.949024586416138e-34,3.8975361123425465e-34,1.1676215576809574e-33,1.940594594063192e-33,2.7054851702976752e-33,3.8309774199155696e-33,5.625175970977448e-33,7.284966223499804e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-900-0-100,eeh,9,9,9,8,0,900,0,100,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10,0.0,0.0,0.0,6.212852278668049e-221,3.3856822514409613e-99,9.643791499595286e-66,4.783364537314731e-48,1.075540829266995e-38,1.7437443095069932e-35,8.043659785375864e-35,4.021660477594509e-34,8.042262294816776e-34,2.4092961700126254e-33,4.004265844756854e-33,5.5825579923090276e-33,7.904923615438624e-33,1.160711262426535e-32,1.5031960574459736e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-999-0-111,eeh,9,9,9,8,0,999,0,111,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10,0.0,0.0,0.0,9.801515997317013e-224,5.3413178457938864e-102,1.521423211406817e-68,7.546328470494485e-51,1.696794028086582e-41,2.7509647708101403e-38,1.2689833353037538e-37,6.3446494039885536e-37,1.2687628644884725e-36,3.800952266921762e-36,6.317207294571094e-36,8.807151532548201e-36,1.2470960486268222e-35,1.8311605518132049e-35,2.3714711928285634e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-100-0-900,eeh,9,9,9,8,0,100,0,900,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,0.0,0.0,0.0,6.212998341340431e-221,3.3857618480216146e-99,9.64401822282886e-66,4.783476993071921e-48,1.0755661149748684e-38,1.7437853045190063e-35,8.043848889895222e-35,4.021755025871279e-34,8.042451366481466e-34,2.409352811989832e-33,4.004359984089964e-33,5.5826892369133596e-33,7.905109458303779e-33,1.1607385504709392e-32,1.503231397226065e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-0-111-0-999,eeh,9,9,9,8,0,111,0,999,0.4,1.3006999999999995,0.4,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,0.0,0.0,0.0,9.841962924424484e-224,5.363359323216951e-102,1.5277015150639483e-68,7.577469142780148e-51,1.7037960167982467e-41,2.762316899561512e-38,1.2742199207949854e-37,6.370831228518129e-37,1.273998540185036e-36,3.816637273131133e-36,6.343275876516605e-36,8.84349511614883e-36,1.2522423140605194e-35,1.838717017300946e-35,2.3812573037220276e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
