pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k4_mapped,probability
9-7-7-6-0-0-0-0,ehh,9,7,7,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09
9-7-8-6-0-0-0-0,ehh,9,7,8,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09
9-8-7-6-0-0-0-0,ehh,9,8,7,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09
9-8-8-6-0-0-0-0,ehh,9,8,8,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09
9-7-7-7-0-0-1-1,ehh,9,7,7,7,0,0,1,1,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",7.483045246927161e-11
9-7-7-7-0-0-9-9,ehh,9,7,7,7,0,0,9,9,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",7.483045246927161e-11
9-7-7-7-0-0-10-10,ehh,9,7,7,7,0,0,10,10,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",7.483045246927161e-11
9-7-7-7-0-0-90-90,ehh,9,7,7,7,0,0,90,90,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",7.483045246927161e-11
9-7-7-7-0-0-100-100,ehh,9,7,7,7,0,0,100,100,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",7.483045246927161e-11
9-7-7-7-0-0-111-111,ehh,9,7,7,7,0,0,111,111,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",7.483045246927161e-11
