pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k4_mapped,probability,C_Gaussian_FWHM_0.001,C_Gaussian_FWHM_0.005,C_Gaussian_FWHM_0.010,C_Gaussian_FWHM_0.030,C_Gaussian_FWHM_0.050,C_Gaussian_FWHM_0.070,C_Gaussian_FWHM_0.100,C_Gaussian_FWHM_0.150,C_Gaussian_FWHM_0.200,C_Lorentzian_FWHM_0.001,C_Lorentzian_FWHM_0.005,C_Lorentzian_FWHM_0.010,C_Lorentzian_FWHM_0.030,C_Lorentzian_FWHM_0.050,C_Lorentzian_FWHM_0.070,C_Lorentzian_FWHM_0.100,C_Lorentzian_FWHM_0.150,C_Lorentzian_FWHM_0.200,C_Rectangular_FWHM_0.001,C_Rectangular_FWHM_0.005,C_Rectangular_FWHM_0.010,C_Rectangular_FWHM_0.030,C_Rectangular_FWHM_0.050,C_Rectangular_FWHM_0.070,C_Rectangular_FWHM_0.100,C_Rectangular_FWHM_0.150,C_Rectangular_FWHM_0.200
9-7-7-6-0-0-0-0,ehh,9,7,7,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09,0.0,0.0,4.973606576057634e-241,5.507188489238597e-57,1.9089368984904328e-42,1.5909824050972427e-38,1.6119744137587173e-36,1.5294155751977082e-35,2.905542887476879e-35,1.8864281056557223e-37,9.428859011401618e-37,1.883723794392967e-36,5.586455990198218e-36,9.102287069022275e-36,1.2329118522473339e-35,1.6475389104802715e-35,2.1335457001047243e-35,2.3878324133511302e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-8-6-0-0-0-0,ehh,9,7,8,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09,0.0,0.0,1.404956313394381e-240,1.5556838118759237e-56,5.392410731314517e-42,4.4942452531371355e-38,4.553543982638093e-36,4.320329795530442e-35,8.207647229782651e-35,5.328827353505218e-37,2.6634867059954042e-36,5.3211881501949205e-36,1.5780754856477057e-35,2.571235880521542e-35,3.4827589681360556e-35,4.654007425891123e-35,6.026891060722152e-35,6.745206266649054e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-8-7-6-0-0-0-0,ehh,9,8,7,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09,0.0,0.0,1.404956313394381e-240,1.5556838118759255e-56,5.392410731314525e-42,4.494245253137141e-38,4.5535439826381e-36,4.3203297955304477e-35,8.207647229782663e-35,5.328827353505227e-37,2.6634867059954082e-36,5.321188150194929e-36,1.5780754856477076e-35,2.571235880521545e-35,3.4827589681360604e-35,4.6540074258911304e-35,6.02689106072216e-35,6.745206266649063e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-8-8-6-0-0-0-0,ehh,9,8,8,6,0,0,0,0,0.4,0.0,0.0,-0.26869999999999994,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.0, 0.0]",8.805351521890976e-09,0.0,0.0,1.537360590441418e-240,1.7022927764872448e-56,5.900596101658948e-42,4.917786745464712e-38,4.982673837632e-36,4.7274813473219174e-35,8.981142880420295e-35,5.8310205722852045e-37,2.9144959568734032e-36,5.822661443962364e-36,1.7267946606260272e-35,2.8135513352026415e-35,3.810977133300035e-35,5.092605041161364e-35,6.59487039655661e-35,7.380880237988217e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-7-7-0-0-1-1,ehh,9,7,7,7,0,0,1,1,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,3.468393571171148e-247,2.0910752683610444e-110,8.312219528371787e-73,6.562946097926609e-53,2.209511737732221e-42,9.236525500335905e-39,1.2818884675022866e-37,6.409201992812241e-37,1.2816902063582739e-36,3.8402710302227994e-36,6.384512848948879e-36,8.905053973685093e-36,1.2621690785998934e-35,1.8575318515243713e-35,2.412970297323326e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-7-7-0-0-9-9,ehh,9,7,7,7,0,0,9,9,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,3.4693030751887624e-247,2.0916241571425283e-110,8.314401412552328e-73,6.564668813288003e-53,2.210091715040426e-42,9.238950006667043e-39,1.282224951898411e-37,6.410884351704505e-37,1.2820266387125998e-36,3.841279067436113e-36,6.386188727159029e-36,8.907391471669323e-36,1.262500386830669e-35,1.8580194372224944e-35,2.4136036807056913e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-7-7-0-0-10-10,ehh,9,7,7,7,0,0,10,10,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,2.0074925109583956e-245,1.2103223767312308e-108,4.811144509100308e-71,3.798658345678453e-51,1.2788738589613902e-40,5.346136346907902e-37,7.419619562081883e-36,3.7096706686082313e-35,7.418472018984482e-35,2.2227635852794347e-34,3.695380497550169e-34,5.154279357336605e-34,7.305482983618409e-34,1.0751465523061057e-33,1.3966364527505784e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-7-7-0-0-90-90,ehh,9,7,7,7,0,0,90,90,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",7.483045246927161e-11,0.0,0.0,0.0,2.0074981953585058e-245,1.2103253491659563e-108,4.811156324806011e-71,3.79866767481604e-51,1.2788769997519277e-40,5.346149476501827e-37,7.41963778395009e-36,3.709679779200689e-35,7.418490238034436e-35,2.2227690441718706e-34,3.6953895730473473e-34,5.154292015748316e-34,7.305500925178216e-34,1.0751491927620771e-33,1.3966398827546589e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-7-7-0-0-100-100,ehh,9,7,7,7,0,0,100,100,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",7.483045246927161e-11,0.0,0.0,0.0,1.0741005294849239e-243,6.475778479128721e-107,2.5741824385792297e-69,2.0324560164659216e-49,6.842560273692718e-39,2.8604275495008865e-35,3.969835938522189e-34,1.9848435377447285e-33,3.969221950461085e-33,1.189280217111939e-32,1.977197642404778e-32,2.757775281971e-32,3.9087676469079073e-32,5.752525970921071e-32,7.47264403085335e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-7-7-7-0-0-111-111,ehh,9,7,7,7,0,0,111,111,0.4,0.0,-0.12330000000000041,-0.12330000000000041,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]","[0.08419973765003352, 0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",7.483045246927161e-11,0.0,0.0,0.0,8.782398965901606e-244,5.29492991419552e-107,2.104784103186894e-69,1.6618406876573697e-49,5.594829594562678e-39,2.338832844275891e-35,3.2459422651773145e-34,1.6229102735484912e-33,3.245440236925085e-33,9.724167400479387e-33,1.6166585958410482e-32,2.254899064907773e-32,3.196009685624225e-32,4.703561424126218e-32,6.110018516634548e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
